codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;2.680.739,45;2.190.843,01;2.167.592,89;2.676.002,71;2.771.313,52;3.140.292,89;2.662.634,69;2.050.533,85;2.412.018,70;2.579.915,12;2.168.041,65;4.212.176,83;4.850.636,60;4.832.247,70;5.097.980,42;5.702.666,93;4.420.906,08;6.139.243,07;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;224.040,20;116.345,49;159.805,18;199.387,42;277.167,93;755.501,92;225.493,07;115.963,01;209.507,32;108.719,90;171.838,79;165.694,37;344.300,68;429.773,54;633.597,77;628.386,83;362.990,28;422.559,67;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;222.184,93;111.011,83;154.307,07;195.242,01;272.069,25;749.957,55;220.143,85;109.127,08;185.463,16;100.864,81;166.726,26;158.227,94;337.462,66;422.935,52;626.759,75;621.548,81;356.152,26;415.721,64;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;58.949,50;43.712,05;48.368,68;45.525,27;68.834,48;45.051,37;48.476,99;44.274,23;45.745,99;46.200,09;45.001,63;89.586,08;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;58.949,50;43.712,05;48.368,68;45.525,27;68.834,48;45.051,37;48.476,99;44.274,23;45.745,99;46.200,09;45.001,63;89.586,08;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;58.949,50;43.712,05;48.368,68;45.525,27;43.735,95;45.051,37;44.077,77;44.274,23;45.745,99;46.200,09;45.001,63;89.586,08;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;58.949,50;43.712,05;48.368,68;45.525,27;43.735,95;45.051,37;44.077,77;44.274,23;45.745,99;46.200,09;45.001,63;89.586,08;101.186,78;101.186,78;101.186,78;101.186,78;101.186,78;151.780,04;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;48.090,99;35.743,75;35.325,86;35.098,87;35.095,62;36.663,92;35.674,83;35.467,10;37.135,68;35.930,07;34.806,15;69.742,34;86.152,32;86.152,32;86.152,32;86.152,32;86.152,32;129.228,45;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;28.854,59;21.446,25;21.195,51;21.059,32;21.057,37;21.998,35;21.404,90;21.280,25;22.281,41;21.558,04;20.883,69;41.845,41;51.691,40;51.691,40;51.691,40;51.691,40;51.691,40;77.537,03;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;12.022,75;8.935,94;8.831,47;8.774,72;8.773,91;9.165,98;8.918,71;8.866,78;9.283,92;8.982,52;8.701,54;17.435,58;21.538,08;21.538,08;21.538,08;21.538,08;21.538,08;32.307,11;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
