codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;2.436.795,14;2.819.714,88;2.527.304,16;2.406.517,49;2.554.415,94;2.954.891,15;3.432.533,55;2.427.569,48;2.510.631,83;2.553.872,18;2.978.165,89;4.303.636,95;5.147.924,41;5.805.764,29;5.263.599,57;5.913.746,51;5.655.215,96;6.083.898,25;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;141.062,69;104.219,41;171.307,00;211.035,72;309.220,29;457.999,14;220.488,63;187.240,39;204.490,73;189.615,59;174.464,94;229.874,45;503.759,60;503.759,60;503.759,60;503.759,60;503.759,60;517.167,05;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;138.289,17;101.118,35;168.095,00;206.707,72;305.828,29;454.521,69;214.706,63;180.846,39;195.461,19;153.722,03;168.316,33;225.908,69;493.061,46;493.061,46;493.061,46;493.061,46;493.061,46;506.468,49;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;78.063,00;53.822,72;53.384,70;52.503,10;52.485,59;51.067,49;54.355,34;59.622,04;53.652,82;47.000,99;50.315,30;120.365,25;113.961,58;113.961,58;113.961,58;113.961,58;113.961,58;127.368,87;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;78.063,00;53.822,72;53.384,70;52.503,10;52.485,59;51.067,49;54.355,34;59.622,04;53.652,82;47.000,99;50.315,30;120.365,25;113.961,58;113.961,58;113.961,58;113.961,58;113.961,58;127.368,87;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;78.063,00;53.822,72;53.384,70;52.503,10;52.485,59;51.067,49;54.355,34;59.622,04;53.652,82;47.000,99;50.315,30;120.365,25;113.961,58;113.961,58;113.961,58;113.961,58;113.961,58;127.368,87;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;78.063,00;53.822,72;53.384,70;52.503,10;52.485,59;51.067,49;54.355,34;59.622,04;53.652,82;47.000,99;50.315,30;120.365,25;113.961,58;113.961,58;113.961,58;113.961,58;113.961,58;127.368,87;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;62.909,28;41.964,35;41.358,53;40.545,11;40.654,00;39.416,05;42.401,94;45.571,23;38.288,47;35.183,12;38.466,30;77.895,14;97.029,04;97.029,04;97.029,04;97.029,04;97.029,04;108.444,25;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;37.745,57;25.178,61;24.815,12;24.327,06;24.392,40;23.649,63;25.441,16;27.342,74;22.973,08;21.109,87;23.079,77;46.737,08;59.358,94;59.358,94;59.358,94;59.358,94;59.358,94;59.358,97;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;15.727,32;10.491,09;10.339,63;10.136,28;10.163,50;9.854,01;10.600,49;11.392,81;9.572,12;8.795,78;9.616,58;19.473,79;22.830,36;22.830,36;22.830,36;22.830,36;22.830,36;34.245,56;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
