codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;2.655.131,55;2.824.792,28;2.875.639,52;3.005.596,92;3.331.983,09;3.367.903,04;3.886.565,21;3.100.089,84;2.892.561,51;3.109.613,88;3.845.770,45;5.378.951,94;4.776.852,07;4.831.198,11;6.459.600,85;6.294.230,12;6.703.168,48;8.329.746,33;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;135.784,13;133.510,29;151.434,16;229.411,58;353.319,29;660.026,22;234.243,11;238.501,82;358.587,13;221.538,59;200.053,78;251.651,22;262.812,78;395.555,14;1.067.175,37;326.079,54;380.381,10;621.532,51;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;131.757,26;130.470,29;144.090,25;225.289,82;344.674,81;656.143,22;229.713,11;227.930,09;353.354,21;195.926,56;179.785,96;247.413,05;258.263,38;390.161,45;1.058.796,96;315.080,56;345.878,14;611.870,15;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;53.366,25;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;53.366,25;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;52.115,52;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;52.115,52;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;41.241,77;36.578,51;35.001,75;35.470,42;34.666,29;34.628,25;35.096,32;34.738,64;35.832,06;35.434,70;34.855,01;78.366,53;95.813,91;83.827,10;84.021,43;84.468,39;86.506,23;122.925,82;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;24.745,06;21.947,10;21.001,05;21.282,25;20.799,78;20.776,95;21.057,79;20.843,18;21.499,23;21.260,81;20.913,01;47.019,92;57.488,34;50.296,26;50.412,86;50.681,03;51.903,74;73.755,50;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;10.310,44;9.144,63;8.750,44;8.867,61;8.666,57;8.657,06;8.774,08;8.684,66;8.958,02;8.858,68;8.713,75;19.591,63;23.953,48;20.956,78;21.005,36;21.117,10;21.626,56;30.731,44;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;6.186,27;5.486,78;5.250,26;5.320,56;5.199,94;5.194,24;5.264,45;5.210,80;5.374,81;5.315,21;5.228,25;11.754,98;14.372,09;12.574,06;12.603,21;12.670,26;12.975,93;18.438,88;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;2.068,26;2.244,88;2.128,17;2.128,17;2.128,17;2.128,17;2.153,09;2.128,17;2.077,84;2.058,35;2.110,49;4.341,91;9.409,84;8.429,42;7.665,11;7.680,13;5.912,15;9.020,67;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.01.00.00.000;02;0201;1.240,95;1.346,93;1.276,90;1.276,90;1.276,90;1.276,90;1.291,86;1.276,90;1.246,70;1.235,01;1.266,30;2.605,14;5.645,91;5.057,65;4.599,06;4.608,08;3.547,28;5.412,41;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.02.00.00.000;02;0201;517,07;561,22;532,04;532,04;532,04;532,04;538,27;532,04;519,46;514,59;527,62;1.085,48;2.352,46;2.107,35;1.916,28;1.920,03;1.478,04;2.255,17;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.03.00.00.000;02;0201;310,24;336,73;319,23;319,23;319,23;319,23;322,96;319,23;311,68;308,75;316,57;651,29;1.411,47;1.264,42;1.149,77;1.152,02;886,83;1.353,09;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.00.00.00.000;02;0201;11.932,54;11.983,85;11.983,85;12.053,83;11.889,68;14.118,72;14.550,08;14.550,08;14.622,47;14.622,47;14.685,23;29.213,88;11.912,22;14.523,39;12.721,54;12.538,94;14.040,35;51.021,15;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.01.00.00.000;02;0201;7.159,52;7.190,31;7.190,31;7.232,30;7.133,81;8.471,23;8.730,05;8.730,05;8.773,48;8.773,48;8.811,14;17.528,32;7.147,33;8.714,03;7.632,93;7.523,36;8.424,21;30.612,69;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.02.00.00.000;02;0201;2.983,14;2.995,96;2.995,96;3.013,46;2.972,42;3.529,68;3.637,52;3.637,52;3.655,62;3.655,62;3.671,31;7.303,47;2.978,05;3.630,85;3.180,38;3.134,73;3.510,09;12.755,30;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.03.00.00.000;02;0201;1.789,88;1.797,58;1.797,58;1.808,07;1.783,45;2.117,81;2.182,51;2.182,51;2.193,37;2.193,37;2.202,78;4.382,09;1.786,84;2.178,51;1.908,23;1.880,85;2.106,05;7.653,16;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.0.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.250,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.250,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.250,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.01.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;750,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
